A:LATIN/B:SWING vs. all, (N = 2 vs. 1414)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
BALLAD vs. all, (N = 12 vs. 1404)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, avgtempo, 58.54999999999999, 196.23112535612535, ***, -2.0047222146709016
1, mcm_entropy, 0.8683333333333333, 0.7134900284900285, **, 0.8617630563660271
2, durclass_bigram_entropy, 2.6599999999999997, 1.8904273504273503, **, 0.9456660463237067
4, ioiclass_rel_hist_01_very_short, 0.7400000000000001, 0.17606125356125357, ***, 2.7107649484778866
6, metrical_event_density, 13.186666666666666, 6.334095441595442, ***, 2.45259040970622
7, durclass_rel_hist_01_very_short, 0.7866666666666666, 0.2679059829059829, ***, 2.080784909853103
8, ric_mean_seg_len_01_very_short, 4.4275, 1.6201139601139602, ***, 2.0103066413853616
9, ioiclass_abs_hist_05_very_long, 0.028333333333333332, 0.00688034188034188, ***, 1.3712295258423588
10, durclass_abs_hist_03_medium, 0.13500000000000004, 0.06504273504273504, *, 0.6175837014194471
12, pitch_range, 31.0, 23.1517094017094, ***, 0.9593952292996717
16, event_density, 3.215, 4.805690883190883, **, -0.93399167964942
17, art_median, 0.9, 0.8447863247863248, **, 0.7842837235929837
FUNK vs. all, (N = 32 vs. 1384)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, pitch_range, 31.15625, 23.034682080924856, ***, 0.9998536557564798
1, art_std, 0.22, 0.1858742774566474, ***, 0.8484788011102766
4, abs_int_range, 18.3125, 12.59971098265896, ***, 0.9821784485960916
5, int_range, 31.21875, 21.454479768786126, ***, 1.0605469342516465
6, avgtempo, 121.303125, 196.76979768786128, ***, -1.0949559181723083
7, metrical_event_density, 8.7821875, 6.336907514450868, ***, 0.8608121490857775
8, pitch_std, 6.14375, 5.079082369942197, ***, 0.6532663623642075
9, int_min, -14.5625, -9.943641618497109, ***, -0.8635379187905232
17, mean_seg_len_01_very_short, 4.3428125, 2.279277456647399, ***, 0.6359474755075749
18, durclass_rel_hist_01_very_short, 0.5696875, 0.2654263005780347, ***, 1.2182899483086254
FUNK/SWING vs. all, (N = 1 vs. 1415)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
LATIN vs. all, (N = 99 vs. 1317)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, aic_mean_seg_len_02_short, 3.02, 2.0005922551252846, ***, 1.010390433434781
1, ioiclass_abs_hist_02_short, 0.5284848484848484, 0.3848063781321185, ***, 0.7000194052597958
LATIN/FUNK vs. all, (N = 6 vs. 1410)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, mean_length_step, 6.685, 4.908063829787234, **, 1.1784861948445735
1, cdpcx_density_T, 0.10333333333333335, 0.043014184397163126, ***, 1.436652082349634
2, art_range, 0.9633333333333334, 0.8449716312056736, *, 0.8304761990174652
3, mean_length_chromatic_sequences, 4.691666666666666, 3.1762836879432625, **, 1.1313550237521137
4, mean_length_seq_repitition, 4.766666666666667, 1.9419858156028367, **, 1.2343510525402368
5, ric_mean_seg_len_01_very_short, 2.9766666666666666, 1.6382340425531914, *, 0.9443037078954131
8, pitch_median, 71.0, 65.37553191489361, **, 1.126098312946827
10, pitch_std, 7.061666666666667, 5.094808510638298, **, 1.204861125321391
11, mean_length_chromatic_descending, 4.788333333333333, 2.898177304964539, **, 1.1216848986377284
13, mean_length_chromatic_mixed, 4.585, 3.5446312056737592, *, 0.8336927529569588
17, int_min, -16.5, -10.020567375886525, **, -1.205202091275256
LATIN/SWING vs. all, (N = 2 vs. 1414)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, metrical_event_density, 12.765, 6.383154172560112, **, 2.236269969808861
3, ioiclass_rel_hist_01_very_short, 0.665, 0.18015558698727016, **, 2.269910917626072
6, mean_length_seq_ascending, 2.035, 4.14991513437058, ***, -2.538015773058244
7, cdpcx_density_2, 0.215, 0.0981824611032532, *, 1.6369672947342673
9, durclass_rel_hist_02_short, 0.225, 0.5791796322489391, *, -1.4406853306972964
11, cdpcx_density_7, 0.205, 0.10429278642149929, *, 1.5184999545493016
14, durclass_rel_hist_01_very_short, 0.75, 0.27162659123055166, **, 1.8895086993322785
SWING vs. all, (N = 1219 vs. 197)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, avgtempo, 201.2375717801477, 156.86548223350255, ***, 0.6513985214877592
2, ioiclass_abs_hist_02_short, 0.3754634946677605, 0.5148223350253808, ***, -0.6870534744322058
3, aic_mean_seg_len_02_short, 1.973371616078753, 2.6813197969543148, ***, -0.6990949077563362
10, ioiclass_abs_hist_01_very_short, 0.4608613617719442, 0.31802030456852787, ***, 0.5890385248151491
TWOBEAT vs. all, (N = 43 vs. 1373)
Rank, Feature, Mean (class), Mean (others), Significance (t-test), Cohen's D
0, pitch_median, 69.1046511627907, 65.28332119446468, ***, 0.7696785762172473
1, art_median, 0.7851162790697676, 0.8471376547705753, ***, -0.888890003536435
3, durclass_bigram_entropy, 2.588837209302326, 1.875280407865987, ***, 0.8835490237431617
6, ioiclass_abs_hist_02_short, 0.5700000000000001, 0.3893663510560816, ***, 0.8761046011191452
8, fuzzyint_entropy, 0.7765116279069768, 0.6835251274581209, ***, 0.5320388885399399
9, parsons_bigram_entropy, 2.4988372093023257, 2.1759359067734887, ***, 0.5411328797010656
10, ioiclass_abs_hist_01_very_short, 0.2172093023255814, 0.4479970866715222, ***, -0.9446922189268842
