71.43;0.00;0.00;0.00;0.00;0.00;0.00;14.29;0.00;0.00;14.29
0.00;71.43;14.29;0.00;0.00;14.29;0.00;0.00;0.00;0.00;0.00
0.00;20.00;60.00;0.00;0.00;0.00;0.00;0.00;20.00;0.00;0.00
6.25;0.00;6.25;68.75;6.25;6.25;0.00;0.00;6.25;0.00;0.00
0.00;0.00;16.67;0.00;66.67;0.00;0.00;16.67;0.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;87.50;12.50;0.00;0.00;0.00;0.00
0.00;20.00;0.00;0.00;0.00;0.00;20.00;20.00;0.00;0.00;40.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;87.50;12.50;0.00;0.00
0.00;0.00;33.33;0.00;0.00;0.00;0.00;0.00;50.00;16.67;0.00
0.00;0.00;0.00;16.67;16.67;0.00;0.00;0.00;0.00;66.67;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00
