ArtPepper_Anthropology_Solo,Art Pepper
ArtPepper_BluesForBlanche_Solo,Steve Coleman
ArtPepper_Desafinado_Solo,Paul Desmond
ArtPepper_InAMellowTone_Solo,Art Pepper
ArtPepper_Stardust-1_Solo,Art Pepper
ArtPepper_Stardust-2_Solo,Art Pepper
BennyCarter_IGotItBad_Solo,Lee Konitz
BennyCarter_It'sAWonderfulWorld-1_Solo,Benny Carter
BennyCarter_It'sAWonderfulWorld-2_Solo,Cannonball Adderley
BennyCarter_JustFriends_Solo,Benny Carter
BennyCarter_LongAgoAndFarAway-1_Solo,Benny Carter
BennyCarter_LongAgoAndFarAway-2_Solo,Benny Carter
BennyCarter_SweetLorraine_Solo,Benny Carter
CannonballAdderley_HighFly_Solo,Cannonball Adderley
CannonballAdderley_SoWhat_Solo,Benny Carter
CannonballAdderley_StarEyes_Solo,Phil Woods
CannonballAdderley_ThisHere_Solo,Cannonball Adderley
CannonballAdderley_WorkSong_Solo,Cannonball Adderley
CharlieParker_Billie'sBounce_Solo,Charlie Parker
CharlieParker_BluesForAlice_Solo,Charlie Parker
CharlieParker_Don'tBlameMe_Solo,Art Pepper
CharlieParker_DonnaLee_Solo,Charlie Parker
CharlieParker_EmbraceableYou_Solo,Charlie Parker
CharlieParker_HowDeepIsTheOcean_Solo,Eric Dolphy
CharlieParker_K.C.Blues_Solo,Phil Woods
CharlieParker_Ko=Ko_Solo,Charlie Parker
CharlieParker_MyLittleSuedeShoes_Solo,Cannonball Adderley
CharlieParker_Ornithology_Solo,Charlie Parker
CharlieParker_OutOfNowhere_Solo,Charlie Parker
CharlieParker_StarEyes_Solo,Lee Konitz
CharlieParker_Steeplechase_Solo,Charlie Parker
CharlieParker_ThrivingOnARiff_Solo,Charlie Parker
CharlieParker_YardbirdSuite_Solo,Charlie Parker
EricDolphy_245_Solo,Eric Dolphy
EricDolphy_DahomeyDance_Solo,Cannonball Adderley
EricDolphy_Les_Solo,Eric Dolphy
EricDolphy_OnGreenDolphinStreet_Solo,Eric Dolphy
EricDolphy_Serene_Solo,Eric Dolphy
LeeKonitz_AllTheThingsYouAre_Solo,Paul Desmond
LeeKonitz_BopGoesToLeesel_Solo,Lee Konitz
LeeKonitz_Crosscurrent_Solo,Lee Konitz
LeeKonitz_I'llRememberApril_Solo,Lee Konitz
LeeKonitz_Marshmallow_Solo,Lee Konitz
LeeKonitz_MeanToMe_Solo,Lee Konitz
LeeKonitz_Tautology_Solo,Lee Konitz
LeeKonitz_Wow-1_Solo,Lee Konitz
OrnetteColeman_BirdFood_Solo,Ornette Coleman
OrnetteColeman_Chronology_Solo,Steve Coleman
OrnetteColeman_Congeniality_Solo,Ornette Coleman
OrnetteColeman_Peace_Solo,Benny Carter
OrnetteColeman_Ramblin'_Solo,Steve Coleman
PaulDesmond_Alianca-1_Solo,Paul Desmond
PaulDesmond_Alianca-2_Solo,Paul Desmond
PaulDesmond_AloneTogether_Solo,Paul Desmond
PaulDesmond_BlueRondoAlaTurk_Solo,Paul Desmond
PaulDesmond_BossaAntigua_Solo,Paul Desmond
PaulDesmond_SambaCantina-1_Solo,Paul Desmond
PaulDesmond_SambaCantina-2_Solo,Paul Desmond
PaulDesmond_TheGirlFromEast9thStreet_Solo,Paul Desmond
PhilWoods_BeMyLove_Solo,Phil Woods
PhilWoods_CottonTail_Solo,Phil Woods
PhilWoods_CrazyRhythm_Solo,Phil Woods
PhilWoods_HoneysuckleRose_Solo,Phil Woods
PhilWoods_OnASlowBoatToChina_Solo,Cannonball Adderley
PhilWoods_Strollin'WithPam_Solo,Cannonball Adderley
SonnyStitt_BlueMode_Solo,Sonny Stitt
SonnyStitt_BluesInBe=Bop_Solo,Sonny Stitt
SonnyStitt_BodyAndSoul_Solo,Charlie Parker
SonnyStitt_Elora_Solo,Sonny Stitt
SonnyStitt_GoodKick_Solo,Sonny Stitt
SonnyStitt_Teapot_Solo,Sonny Stitt
SteveColeman_DoubleVision_Solo,Eric Dolphy
SteveColeman_PassItOn_Solo,Steve Coleman
SteveColeman_Processional_Solo,Steve Coleman
SteveColeman_Segment_Solo,Steve Coleman
SteveColeman_SlippedAgain_Solo,Steve Coleman
SteveColeman_TakeTheColtrane_Solo,Steve Coleman
SteveColeman_TheOracle-1_Solo,Steve Coleman
