62.33;2.50;1.50;7.67;2.17;4.33;1.33;12.17;0.83;0.33;4.83
4.14;45.29;9.00;3.71;4.00;3.29;5.29;0.57;7.57;4.29;12.86
1.20;11.60;37.20;4.40;8.40;4.00;8.00;1.00;9.80;4.00;10.40
7.00;6.50;6.50;43.81;8.38;6.56;2.06;2.00;5.06;7.31;4.81
5.50;3.67;8.17;5.83;41.33;6.17;4.50;5.83;9.67;4.00;5.33
3.60;4.88;3.47;7.84;2.96;55.53;7.07;2.19;2.83;4.37;5.27
3.60;10.60;7.40;2.80;5.60;4.80;31.40;14.60;4.60;3.40;11.20
9.85;2.65;1.77;1.01;2.65;5.05;5.56;65.03;3.41;0.51;2.53
1.17;5.83;14.83;5.17;9.00;0.67;6.67;0.67;33.17;13.17;9.67
2.01;6.04;4.03;8.39;5.70;4.03;2.85;0.50;6.21;56.21;4.03
2.71;8.71;10.29;3.43;4.00;2.29;8.43;1.86;10.29;1.57;46.43
