60.00;0.00;0.00;10.00;0.00;10.00;10.00;0.00;10.00;0.00;0.00;0.00;0.00
0.00;55.56;0.00;0.00;0.00;11.11;0.00;11.11;0.00;11.11;0.00;11.11;0.00
0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;16.67;83.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;16.67;50.00;0.00;0.00;0.00;33.33;0.00;0.00;0.00;0.00
16.67;0.00;0.00;0.00;0.00;66.67;0.00;16.67;0.00;0.00;0.00;0.00;0.00
0.00;0.00;0.00;0.00;28.57;14.29;28.57;0.00;0.00;14.29;0.00;14.29;0.00
0.00;0.00;0.00;0.00;0.00;0.00;0.00;100.00;0.00;0.00;0.00;0.00;0.00
0.00;0.00;12.50;0.00;0.00;0.00;0.00;0.00;87.50;0.00;0.00;0.00;0.00
0.00;17.65;0.00;0.00;0.00;17.65;17.65;5.88;0.00;11.76;17.65;11.76;0.00
0.00;0.00;0.00;0.00;16.67;0.00;0.00;0.00;16.67;16.67;50.00;0.00;0.00
0.00;0.00;0.00;0.00;0.00;12.50;12.50;0.00;0.00;0.00;0.00;62.50;12.50
16.67;0.00;0.00;0.00;0.00;16.67;0.00;0.00;0.00;0.00;33.33;33.33;0.00
