36.00;5.88;5.00;12.25;2.75;5.88;4.88;4.25;5.38;4.25;3.25;4.75;5.50
7.21;36.84;3.43;2.17;1.83;7.21;4.58;13.16;3.78;6.41;0.69;7.32;5.38
3.03;2.36;61.62;1.85;8.42;2.02;1.01;2.86;7.58;1.18;1.52;5.89;0.67
4.50;4.15;5.54;51.21;10.21;4.15;2.94;1.73;4.50;1.90;0.52;6.23;2.42
1.90;2.93;10.69;11.38;48.62;1.03;5.00;1.55;9.14;1.21;0.86;4.48;1.21
5.40;8.54;2.09;1.92;0.52;39.72;5.92;7.84;1.74;8.89;0.35;8.36;8.71
3.47;5.35;1.01;4.92;10.13;8.97;38.06;1.88;3.76;8.25;1.01;10.13;3.04
4.25;14.50;2.00;0.50;1.75;10.25;2.25;46.00;2.25;6.75;0.25;5.50;3.75
2.46;3.76;9.12;1.74;4.92;1.01;2.03;1.88;65.27;3.33;1.01;2.17;1.30
5.18;11.36;2.83;1.77;1.53;11.18;11.36;8.71;3.18;20.13;6.59;9.48;6.71
2.86;2.50;6.25;1.79;6.43;1.25;2.32;2.50;5.89;2.86;61.96;0.00;3.39
5.69;9.21;5.56;3.52;4.20;7.18;10.16;7.59;3.52;6.50;0.27;31.57;5.01
7.10;9.13;2.17;2.61;1.01;9.86;5.36;4.49;1.30;6.81;7.97;9.71;32.46
