21.12;7.12;4.38;15.38;2.50;6.75;6.38;3.38;8.62;6.38;3.88;5.88;8.25
7.55;26.32;2.40;1.95;1.49;10.64;5.84;15.68;3.09;8.12;1.03;8.24;7.67
6.23;2.86;42.76;3.54;14.14;5.22;1.52;2.53;12.96;1.35;1.68;3.03;2.19
5.88;4.50;6.23;46.19;11.76;4.15;2.94;1.90;3.81;2.08;1.04;6.23;3.29
3.62;2.76;12.93;17.93;33.97;1.72;5.00;2.59;9.83;2.07;2.24;4.83;0.52
6.62;11.32;1.92;2.79;0.70;29.79;5.92;11.50;2.26;10.45;1.05;8.01;7.67
3.76;6.37;1.88;7.96;13.31;8.25;23.30;1.45;3.18;12.59;1.16;13.17;3.62
4.00;19.25;1.00;1.00;1.50;10.75;3.00;40.50;2.75;7.00;1.00;6.00;2.25
4.20;5.93;16.06;2.60;8.10;2.03;3.47;3.18;45.73;2.89;1.74;3.47;0.58
5.77;10.54;2.88;1.71;1.77;10.71;14.77;9.77;2.71;11.54;7.71;10.95;9.18
8.39;4.46;6.61;3.75;8.39;1.25;0.71;2.14;6.07;14.11;38.21;0.00;5.89
7.32;9.49;6.37;2.85;4.34;8.67;11.11;7.99;3.25;6.78;0.27;23.71;7.86
7.83;10.87;2.03;3.19;1.16;13.91;7.83;3.91;0.43;7.54;10.00;14.64;16.67
