ChetBaker_IFallInLoveTooEasily_Solo,Don Ellis
ChetBaker_JustFriends_Solo,Louis Armstrong
ChetBaker_Let'sGetLost_Solo,Chet Baker
ChetBaker_LongAgoAndFarAway_Solo,Chet Baker
ChetBaker_ThereWillNeverBeAnotherYou-1_Solo,Chet Baker
ChetBaker_ThereWillNeverBeAnotherYou-2_Solo,Miles Davis
ChetBaker_Two'sBlues_Solo,Freddie Hubbard
ChetBaker_You'dBeSoNiceToComeHomeTo_Solo,Wynton Marsalis
CliffordBrown_ANightInTunisia_Solo,Lee Morgan
CliffordBrown_Daahoud_Solo,Clifford Brown
CliffordBrown_George'sDilemma_Solo,Clifford Brown
CliffordBrown_I'llRememberApril_AlternateTake2_Solo,Clifford Brown
CliffordBrown_I'llRememberApril_Solo,Clifford Brown
CliffordBrown_Jordu_Solo,Clifford Brown
CliffordBrown_JoySpring_Solo,Clifford Brown
CliffordBrown_Sandu_Solo,Clifford Brown
CliffordBrown_Stompin'AtTheSavoy_Solo,Kenny Dorham
DizzyGillespie_Anthropology_Solo,Dizzy Gillespie
DizzyGillespie_Be=Bop_Solo,Dizzy Gillespie
DizzyGillespie_Blue'NBoogie_Solo,Dizzy Gillespie
DizzyGillespie_CognacBlues_Solo,Dizzy Gillespie
DizzyGillespie_Groovin'High_Solo,Dizzy Gillespie
DizzyGillespie_HotHouse_Solo,Dizzy Gillespie
DonEllis_ILoveYou_Solo,Don Ellis
DonEllis_JohnnyComeLately_Solo,Dizzy Gillespie
DonEllis_OutOfNowhere_Solo,Don Ellis
DonEllis_SweetAndLovely_Solo,Don Ellis
DonEllis_YouSteppedOutOfADream-1_Solo,Don Ellis
DonEllis_YouSteppedOutOfADream-2_Solo,Don Ellis
FatsNavarro_Anthropology_No1_Solo,Fats Navarro
FatsNavarro_DoubleTalk_Solo,Louis Armstrong
FatsNavarro_GoodBait_No1_Solo,Fats Navarro
FatsNavarro_GoodBait_No2_Solo,Don Ellis
FatsNavarro_OurDelight_Solo,Fats Navarro
FatsNavarro_TheSkunk_Solo,Louis Armstrong
FreddieHubbard_245_Solo,Freddie Hubbard
FreddieHubbard_DolphinDance_Solo,Miles Davis
FreddieHubbard_DownUnder_Solo,Freddie Hubbard
FreddieHubbard_MaidenVoyage_Solo,Freddie Hubbard
FreddieHubbard_SocietyRed_Solo,Freddie Hubbard
FreddieHubbard_SpeakNoEvil_Solo,Freddie Hubbard
HerbieHancock_Agitation_Solo,Roy Eldridge
KennyDorham_BluesInBe=Bop_Solo,Fats Navarro
KennyDorham_Doodlin'_Solo,Fats Navarro
KennyDorham_In'NOut_Solo,Freddie Hubbard
KennyDorham_LadyBird_Solo,Kenny Dorham
KennyDorham_PrinceAlbert_Solo,Miles Davis
KennyDorham_Punjab_Solo,Woody Shaw
KennyDorham_Serenity_Solo,Kenny Dorham
LeeMorgan_BlueTrain_Solo,Lee Morgan
LeeMorgan_JustOneOfThoseThings_Solo,Woody Shaw
LeeMorgan_TheSidewinder_Solo,Lee Morgan
LeeMorgan_TotemPole_Solo,Lee Morgan
LouisArmstrong_BasinStreetBlues_Solo,Dizzy Gillespie
LouisArmstrong_BigButterAndEggMan_Solo,Louis Armstrong
LouisArmstrong_CornetChopSuey_Solo,Louis Armstrong
LouisArmstrong_GotNoBlues_Solo,Louis Armstrong
LouisArmstrong_GutBucketBlues_Solo,Louis Armstrong
LouisArmstrong_MuskratRamble_Solo,Louis Armstrong
LouisArmstrong_OnceInAWhile_Solo,Louis Armstrong
LouisArmstrong_SavoyBlues_Solo,Louis Armstrong
MilesDavis_Airegin_Solo,Kenny Dorham
MilesDavis_BitchesBrew-1_Solo,Kenny Dorham
MilesDavis_BluesByFive_Solo,Wynton Marsalis
MilesDavis_Dolores_Solo,Lee Morgan
MilesDavis_E.S.P._Solo,Kenny Dorham
MilesDavis_Eighty=One_Solo,Freddie Hubbard
MilesDavis_K.C.Blues_Solo,Miles Davis
MilesDavis_MilesRunsTheVoodooDown-1_Solo,Freddie Hubbard
MilesDavis_Oleo-1_Solo,Roy Eldridge
MilesDavis_Oleo-2_Solo,Roy Eldridge
MilesDavis_Orbits_Solo,Lee Morgan
MilesDavis_SoWhat_Solo,Chet Baker
MilesDavis_Trane'sBlues_Solo,Kenny Dorham
MilesDavis_TuneUp_Solo,Woody Shaw
MilesDavis_VierdBlues_Solo,Kenny Dorham
MilesDavis_Walkin'_Solo,Clifford Brown
RoyEldridge_BodyAndSoul_Solo,Fats Navarro
RoyEldridge_KingDavid_Solo,Roy Eldridge
RoyEldridge_St.LouisBlues_Solo,Roy Eldridge
RoyEldridge_TheGasser-1_Solo,Roy Eldridge
RoyEldridge_TheGasser-2_Solo,Dizzy Gillespie
RoyEldridge_Undecided_Solo,Roy Eldridge
WoodyShaw_DatDere_Solo,Woody Shaw
WoodyShaw_IfIWereABell_Solo,Woody Shaw
WoodyShaw_Imagination_Solo,Kenny Dorham
WoodyShaw_InACapricornianWay_Solo,Kenny Dorham
WoodyShaw_Rahsaan'sRun_Solo,Clifford Brown
WoodyShaw_Rosewood_Solo,Woody Shaw
WoodyShaw_SteppingStone-1_Solo,Woody Shaw
WoodyShaw_Steve'sBlues_Solo,Woody Shaw
WyntonMarsalis_AprilInParis_Solo,Chet Baker
WyntonMarsalis_Caravan_Solo,Freddie Hubbard
