46.67;2.67;3.00;10.50;4.33;3.50;3.00;16.83;1.67;1.83;6.00
5.14;34.29;11.00;5.43;4.57;6.43;6.14;1.43;8.00;5.14;12.43
2.20;14.20;22.40;8.60;9.60;4.20;9.20;1.00;15.40;2.20;11.00
8.38;5.88;7.00;41.12;9.06;7.38;2.19;1.94;5.50;6.56;5.00
7.67;4.50;8.67;13.67;23.50;6.00;4.17;8.00;11.00;7.00;5.83
5.14;5.40;2.44;11.83;4.11;43.44;6.68;5.66;4.37;5.14;5.78
2.00;11.20;8.60;2.60;7.40;7.00;16.80;19.40;4.40;2.60;18.00
13.51;2.02;2.02;2.15;2.90;6.69;12.25;52.15;4.42;0.38;1.52
1.83;7.50;13.00;6.33;10.83;2.33;6.83;1.83;20.83;15.33;13.33
1.68;5.20;3.02;13.26;8.22;9.06;4.87;0.17;11.74;39.09;3.69
4.86;10.00;12.14;4.71;3.71;4.43;13.00;1.14;12.86;1.43;31.71
