71.00;2.00;3.00;6.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;1.00
0.00;50.00;4.00;0.00;1.00;0.00;0.00;2.00;5.00;4.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;3.00;0.00;3.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;4.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;2.00;0.00;1.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00
1.00;6.00;35.00;0.00;3.00;6.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;2.00;0.00;1.00;0.00;1.00;0.00;0.00;2.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;6.00;9.00;2.00;4.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00
9.00;0.00;1.00;71.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;3.00;1.00;2.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00
0.00;0.00;0.00;1.00;63.00;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;9.00;0.00;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;2.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00
1.00;2.00;2.00;1.00;13.00;50.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;2.00;3.00;0.00;0.00;3.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;0.00;1.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00
1.00;0.00;0.00;2.00;0.00;0.00;59.00;0.00;0.00;0.00;12.00;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;3.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00
1.00;3.00;1.00;1.00;4.00;0.00;1.00;20.00;15.00;4.00;0.00;0.00;6.00;0.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;1.00;6.00;1.00;0.00;0.00;2.00;0.00;1.00;2.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;2.00;1.00;0.00;1.00;0.00;2.00;0.00;0.00;0.00;2.00;2.00;2.00;0.00;0.00;0.00;2.00;2.00
0.00;7.00;1.00;0.00;0.00;0.00;0.00;12.00;28.00;6.00;0.00;0.00;6.00;1.00;1.00;0.00;4.00;1.00;0.00;0.00;1.00;2.00;0.00;1.00;0.00;0.00;2.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;2.00;1.00;4.00;1.00;3.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;2.00;2.00;1.00;0.00;1.00;0.00
0.00;10.00;0.00;0.00;0.00;0.00;0.00;5.00;5.00;30.00;0.00;0.00;4.00;0.00;2.00;0.00;3.00;4.00;0.00;3.00;0.00;5.00;0.00;0.00;0.00;0.00;2.00;0.00;0.00;1.00;1.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;0.00;0.00;1.00;0.00;3.00;2.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4.00;2.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;2.00;2.00;0.00;1.00
