JoshuaRedman_TearsInHeaven_Solo,Joshua Redman
LesterYoung_AfterTheatreJump_Solo,Lester Young
LesterYoung_BodyAndSoul_Solo,Ben Webster
LesterYoung_D.B.Blues_Solo,David Murray
LesterYoung_DestinationK.C._Solo,Lester Young
LesterYoung_Dickie'sDream_Solo,Lester Young
LesterYoung_LesterLeapsIn_Solo,Joe Lovano
LesterYoung_SixCatsAndAPrince_Solo,Lester Young
MichaelBrecker_CabinFever_Solo,Michael Brecker
MichaelBrecker_Confirmation_Solo,Michael Brecker
MichaelBrecker_DeltaCityBlues_Solo,Michael Brecker
MichaelBrecker_IMeanYou_Solo,Michael Brecker
MichaelBrecker_MidnightVoyage_Solo,Michael Brecker
MichaelBrecker_NakedSoul_Solo,Michael Brecker
MichaelBrecker_NeverAlone_Solo,Michael Brecker
MichaelBrecker_NothingPersonal_Solo,Michael Brecker
MichaelBrecker_Peep_Solo,Michael Brecker
MichaelBrecker_SongForBilbao_Solo,Michael Brecker
SonnyRollins_Airegin_Solo,Michael Brecker
SonnyRollins_BlueSeven-1_Solo,Joshua Redman
SonnyRollins_BlueSeven-2_Solo,Joe Henderson
SonnyRollins_BlueSeven-3_Solo,Sonny Rollins
SonnyRollins_I'llRememberApril_Solo,Coleman Hawkins
SonnyRollins_Playin'InTheYard-1_Solo,Sonny Rollins
SonnyRollins_Playin'InTheYard-2_Solo,Sonny Rollins
SonnyRollins_St.Thomas-1_Solo,Lester Young
SonnyRollins_St.Thomas-2_Solo,Sonny Rollins
SonnyRollins_TenorMadness_Solo,Branford Marsalis
SonnyRollins_TheEverywhereCalypso-1_Solo,Michael Brecker
SonnyRollins_TheEverywhereCalypso-2_Solo,Sonny Stitt
SonnyRollins_VierdBlues_Solo,Don Byas
SonnyStitt_BlueMode_Solo,Sonny Stitt
SonnyStitt_BluesInBe=Bop_Solo,Sonny Stitt
SonnyStitt_BodyAndSoul_Solo,Zoot Sims
SonnyStitt_Elora_Solo,Sonny Stitt
SonnyStitt_GoodKick_Solo,Sonny Stitt
SonnyStitt_Teapot_Solo,Sonny Stitt
StanGetz_BluesInTheCloset_Solo,Stan Getz
StanGetz_BodyAndSoul_Solo,David Liebman
StanGetz_CrazyRhythm_Solo,David Liebman
StanGetz_I'mGladThereIsYou_Solo,Stan Getz
StanGetz_Insensatez_Solo,Don Byas
StanGetz_MyFunnyValentine_Solo,Stan Getz
WayneShorter_Adam'sApple_Solo,Dexter Gordon
WayneShorter_Dolores_Solo,Michael Brecker
WayneShorter_DownUnder_Solo,Joe Henderson
WayneShorter_E.S.P._Solo,Joe Henderson
WayneShorter_Eighty=One_Solo,Joe Henderson
WayneShorter_Footprints_Solo,Joe Henderson
WayneShorter_JuJu_Solo,Wayne Shorter
WayneShorter_Orbits_Solo,Michael Brecker
WayneShorter_SpeakNoEvil_Solo,Joe Henderson
ZootSims_AllTheThingsYouAre_Solo,Ben Webster
ZootSims_DancingInTheDark-2_Solo,Don Byas
ZootSims_KingDavid_Solo,Coleman Hawkins
ZootSims_NightAndDay-1_Solo,Zoot Sims
